KP	TF	p	sign
YAL009W	YAL051W	7.258416841665e-08	-1
YAL009W	YBL005W	0.833195408228865	-1
YAL009W	YBL008W	0.0718145072399271	1
YAL009W	YBL021C	0.196706869646449	1
YAL009W	YBL054W	0.569611250483985	-1
YAL009W	YBL103C	0.584980527768684	-1
YAL009W	YBR033W	0.874418474158265	1
YAL009W	YBR049C	0.144937606124369	1
YAL009W	YBR083W	0.22491401409074	1
YAL009W	YBR112C	0.0534095272607474	-1
YAL009W	YBR150C	0.0327449761631688	1
YAL009W	YBR182C	0.45897555840488	-1
YAL009W	YBR239C	0.108629674442932	1
YAL009W	YBR240C	0.837290664239119	1
YAL009W	YBR297W	0.74621794004759	-1
YAL009W	YCL055W	0.136868506158484	-1
YAL009W	YCR065W	0.883930924705971	-1
YAL009W	YCR084C	0.0805158205442397	1
YAL009W	YCR106W	0.914431229849415	1
YAL009W	YDL020C	0.924995753672171	1
YAL009W	YDL048C	0.983603062221132	1
YAL009W	YDL056W	0.0353887750425885	1
YAL009W	YDL106C	0.00527611576274569	1
YAL009W	YDL170W	0.953300440754604	-1
YAL009W	YDR009W	0.954392064677325	1
YAL009W	YDR026C	0.575169856180978	-1
YAL009W	YDR034C	0.96520398152219	-1
YAL009W	YDR043C	0.000138651626723684	1
YAL009W	YDR049W	0.936090994720823	1
YAL009W	YDR123C	8.69413930026775e-11	-1
YAL009W	YDR146C	0.696333784373623	-1
YAL009W	YDR174W	0.538947301083288	-1
YAL009W	YDR207C	0.000142175463120744	1
YAL009W	YDR213W	0.870102377150595	-1
YAL009W	YDR216W	0.00896468474331575	1
YAL009W	YDR253C	0.0508088548266788	1
YAL009W	YDR259C	5.99807323242569e-09	1
YAL009W	YDR266C	0.968027937888574	-1
YAL009W	YDR277C	0.00229119749345525	1
YAL009W	YDR310C	0.983632738703245	-1
YAL009W	YDR421W	0.769548788318957	-1
YAL009W	YDR423C	0.00561443523729807	1
YAL009W	YDR451C	0.964910514534991	-1
YAL009W	YDR463W	0.179958308676028	1
YAL009W	YDR501W	0.119340542814552	-1
YAL009W	YDR520C	0.703586702494283	1
YAL009W	YEL009C	4.51204776096783e-05	-1
YAL009W	YER028C	0.9994418401608	1
YAL009W	YER040W	0.194680609761555	1
YAL009W	YER045C	0.969877311491243	-1
YAL009W	YER051W	0.696880578132461	-1
YAL009W	YER068W	0.496280277902148	-1
YAL009W	YER088C	0.0666469551979021	1
YAL009W	YER109C	2.5221884639459e-06	-1
YAL009W	YER111C	3.8949593752553e-07	1
YAL009W	YER130C	0.948829077073229	1
YAL009W	YER161C	0.734936034157138	1
YAL009W	YER169W	0.267194984392496	1
YAL009W	YER184C	0.992462209103094	1
YAL009W	YFL021W	0.31698050204201	-1
YAL009W	YFL031W	0.99875452776541	-1
YAL009W	YFL044C	0.997817906272996	-1
YAL009W	YFL052W	0.52822705367479	1
YAL009W	YFR034C	0.000573609119163612	-1
YAL009W	YGL013C	0.693046429139884	-1
YAL009W	YGL035C	0.466951998673872	1
YAL009W	YGL071W	0.70884909866939	1
YAL009W	YGL073W	2.31942240746534e-05	-1
YAL009W	YGL096W	0.924121509180701	-1
YAL009W	YGL131C	0.941540049526405	1
YAL009W	YGL162W	0.00187034408258958	1
YAL009W	YGL166W	0.0214656044501363	-1
YAL009W	YGL181W	0.722243118942552	1
YAL009W	YGL192W	0.830825863372697	-1
YAL009W	YGL197W	0.951137128870167	1
YAL009W	YGL209W	0.919305094876842	1
YAL009W	YGL237C	0.741805748987377	1
YAL009W	YGL252C	0.890359299101801	-1
YAL009W	YGL254W	0.717372923580825	1
YAL009W	YGR044C	0.744780586799312	-1
YAL009W	YGR067C	0.127870009094449	1
YAL009W	YGR089W	0.133275503938927	1
YAL009W	YGR097W	0.923832972492344	-1
YAL009W	YGR249W	0.478720005143339	-1
YAL009W	YGR288W	0.703441967571061	-1
YAL009W	YHL009C	0.975944238663242	-1
YAL009W	YHL020C	0.995947626656076	1
YAL009W	YHL027W	0.87380787659361	1
YAL009W	YHR006W	0.992171219823229	-1
YAL009W	YHR084W	4.74583431129989e-11	1
YAL009W	YHR124W	2.29961538727918e-10	-1
YAL009W	YHR178W	0.000201035159392714	-1
YAL009W	YHR206W	2.13321029767855e-10	1
YAL009W	YIL036W	0.926265714684982	-1
YAL009W	YIL101C	0.0596648878007592	1
YAL009W	YIL119C	0.483285731636927	1
YAL009W	YIL122W	0.550481062036491	1
YAL009W	YIL128W	0.997696967076313	-1
YAL009W	YIL131C	1.68819886622553e-06	-1
YAL009W	YIR017C	0.992787204972407	-1
YAL009W	YIR018W	0.0295297299719553	1
YAL009W	YIR023W	0.0133057255699196	1
YAL009W	YIR033W	0.0167060635768396	1
YAL009W	YJL056C	0.995433704178877	-1
YAL009W	YJL089W	0.973008352830675	-1
YAL009W	YJL103C	0.0249046850174081	1
YAL009W	YJL110C	0.965411816644198	1
YAL009W	YJL127C	0.893294806728856	1
YAL009W	YJL206C	0.99883732217021	1
YAL009W	YJR060W	0.000211144000826054	1
YAL009W	YJR094C	0.0695231498120252	-1
YAL009W	YJR127C	0.656250901168175	-1
YAL009W	YJR140C	0.530861016069544	-1
YAL009W	YJR147W	0.931628226442312	-1
YAL009W	YKL005C	0.498845245109311	-1
YAL009W	YKL015W	0.0715745438426975	1
YAL009W	YKL020C	2.46568823781075e-11	-1
YAL009W	YKL032C	0.0248645000378463	1
YAL009W	YKL038W	0.526337693490329	-1
YAL009W	YKL043W	0.00109377558465542	-1
YAL009W	YKL062W	7.82910441374143e-07	1
YAL009W	YKL072W	0.723134874743926	-1
YAL009W	YKL109W	0.822698935758232	1
YAL009W	YKL112W	0.264956708647008	1
YAL009W	YKL185W	3.46693307647605e-08	1
YAL009W	YKL222C	0.414995183489026	1
YAL009W	YKR034W	0.99053243956195	-1
YAL009W	YKR064W	0.404280120503117	-1
YAL009W	YKR099W	0.362924888904227	-1
YAL009W	YLR013W	0.991823124769027	-1
YAL009W	YLR014C	0.688078640810107	-1
YAL009W	YLR098C	0.956701122625626	1
YAL009W	YLR131C	0.00639064140732902	-1
YAL009W	YLR176C	0.0562867438000649	1
YAL009W	YLR182W	0.00054862933127773	1
YAL009W	YLR183C	0.0639327084745031	1
YAL009W	YLR228C	0.599745137885202	1
YAL009W	YLR256W	5.65147229864868e-08	1
YAL009W	YLR266C	0.374744626355355	-1
YAL009W	YLR278C	0.357743195632515	1
YAL009W	YLR403W	0.596142806400083	-1
YAL009W	YLR451W	0.0786127391820538	1
YAL009W	YML007W	7.62697080326758e-10	1
YAL009W	YML027W	0.913580940489729	-1
YAL009W	YML051W	0.734193532909614	1
YAL009W	YML076C	0.550259657218411	-1
YAL009W	YML081W	0.905960141422591	1
YAL009W	YML099C	0.812835824097894	-1
YAL009W	YML113W	0.99917728074538	1
YAL009W	YMR016C	1.74474339234762e-05	1
YAL009W	YMR019W	0.728876254761901	-1
